2
2
2
8 8 8
8 8 10
0
0

0 3 1 
12 12 14 
8
0

Node,Depth,Value
root,0,-Infinity
A2,1,-Infinity
A2,1,-Infinity
A3,1,-Infinity
A2,1,Infinity
B2,2,4
A2,1,4
B3,2,4
A2,1,4
B4,2,4
A2,1,4
A3,1,4
A3,1,Infinity
B2,2,Infinity
B2,2,3
B2,2,3
B3,2,1
B2,2,1
B4,2,1
B2,2,1
A3,1,1
B3,2,3
A3,1,1
B4,2,3
A3,1,1
A3,1,4
A4,1,-Infinity
A2,1,Infinity
B2,2,6
A2,1,6
B3,2,6
A2,1,6
B4,2,6
A2,1,6
A4,1,6
A3,1,Infinity
B2,2,6
A3,1,6
B3,2,6
A3,1,6
B4,2,6
A3,1,6
A4,1,6
A4,1,Infinity
B2,2,5
A4,1,5
B3,2,5
A4,1,5
B4,2,5
A4,1,5
A4,1,6
A3,1,6
A2,1,6
A4,1,Infinity
B2,2,Infinity
B2,2,2
B2,2,2
B3,2,0
B2,2,0
B4,2,0
B2,2,0
A4,1,0
B3,2,2
A4,1,0
B4,2,2
A4,1,0
A2,1,6
A2,1,6
A3,1,-Infinity
A2,1,Infinity
B2,2,3
A2,1,3
B3,2,3
A2,1,3
B4,2,3
A2,1,3
A3,1,3
A3,1,Infinity
B2,2,Infinity
B2,2,2
B2,2,2
B3,2,0
B2,2,0
B4,2,0
B2,2,0
A3,1,0
B3,2,2
A3,1,0
B4,2,2
A3,1,0
A3,1,3
A4,1,-Infinity
A2,1,Infinity
B2,2,5
A2,1,5
B3,2,5
A2,1,5
B4,2,5
A2,1,5
A4,1,5
A3,1,Infinity
B2,2,5
A3,1,5
B3,2,5
A3,1,5
B4,2,5
A3,1,5
A4,1,5
A4,1,Infinity
B2,2,4
A4,1,4
B3,2,4
A4,1,4
B4,2,4
A4,1,4
A4,1,5
A3,1,5
A2,1,6
A4,1,Infinity
B2,2,Infinity
B2,2,1
B2,2,1
B3,2,-1
B2,2,-1
B4,2,-1
B2,2,-1
A4,1,-1
B3,2,1
A4,1,-1
B4,2,1
A4,1,-1
A2,1,6
root,0,6
A3,1,Infinity
B2,2,0
A3,1,0
B3,2,Infinity
B2,2,Infinity
B2,2,-3
B2,2,-3
B3,2,-4
B2,2,-4
B4,2,Infinity
B2,2,Infinity
B3,2,-24
B2,2,-24
B4,2,-8
B2,2,-24
B4,2,-24
B3,2,-7
B4,2,-24
B4,2,-7
B4,2,-24
B2,2,-24
B3,2,-24
B3,2,-1
B3,2,-24
B4,2,-3
B3,2,-24
A3,1,-24
B4,2,-1
A3,1,-24
root,0,6
A4,1,Infinity
B2,2,0
A4,1,0
B3,2,Infinity
B2,2,Infinity
B2,2,-3
B2,2,-3
B3,2,-4
B2,2,-4
B4,2,Infinity
B2,2,Infinity
B3,2,-23
B2,2,-23
B4,2,-8
B2,2,-23
B4,2,-23
B3,2,-7
B4,2,-23
B4,2,-7
B4,2,-23
B2,2,-23
B3,2,-23
B3,2,-1
B3,2,-23
B4,2,-3
B3,2,-23
A4,1,-23
B4,2,-1
A4,1,-23
root,0,6

