2
1
4
10 10
10 10
0
0

12 12 
2 12 
0
2

Node,Depth,Value
root,0,-Infinity
B2,1,Infinity
A2,2,-Infinity
B2,3,Infinity
A3,4,1
B2,3,1
A2,2,1
B3,3,Infinity
A2,4,-9
B3,3,-9
A3,4,Infinity
A2,4,-4
A3,4,-4
A3,4,-3
A3,4,-4
B3,3,-9
A2,2,1
B2,1,1
A3,2,Infinity
A2,2,-Infinity
B2,3,-Infinity
B2,3,Infinity
A2,4,-3
B2,3,-3
A3,4,-3
B2,3,-3
B2,3,-3
B3,3,Infinity
A2,4,0
B3,3,0
A3,4,0
B3,3,0
B2,3,0
A2,2,0
B3,3,Infinity
A2,4,Infinity
A2,4,Infinity
A3,4,-5
A2,4,-5
A2,4,-5
A3,4,-4
A2,4,-5
B3,3,-5
A3,4,-2
B3,3,-5
A2,2,0
A3,2,0
A3,2,Infinity
A2,2,Infinity
A2,2,-Infinity
B2,3,Infinity
A2,4,Infinity
A3,4,-29
A2,4,-29
B2,3,-29
A3,4,-28
B2,3,-29
A2,2,-29
B3,3,Infinity
A2,4,-4
B3,3,-4
A3,4,Infinity
A2,4,Infinity
A2,4,Infinity
A3,4,Infinity
A2,4,Infinity
A2,4,8
A3,4,8
A2,4,8
A2,4,8
A3,4,Infinity
A2,4,10
A3,4,10
A2,4,8
A3,4,8
A3,4,-5
A3,4,-5
B3,3,-5
A2,2,-5
A2,2,-5
A3,2,-Infinity
B2,3,Infinity
A2,4,-9
B2,3,-9
A3,4,Infinity
A2,4,Infinity
A2,4,Infinity
A3,4,8
A2,4,8
A2,4,8
A3,4,-8
A2,4,-8
A3,4,-8
B2,3,-9
A3,2,-9
B3,3,Infinity
A2,4,-5
B3,3,-5
A3,4,-4
B3,3,-5
A3,2,-5
A2,2,-5
A3,2,-5
A3,2,-5
B2,1,-5
root,0,-5
B3,1,Infinity
A2,2,-Infinity
B2,3,Infinity
A2,4,-4
B2,3,-4
A3,4,Infinity
A2,4,-4
A3,4,-4
A3,4,-3
A3,4,-4
B2,3,-4
A2,2,-4
B3,3,Infinity
A2,4,-1
B3,3,-1
A3,4,-3
B3,3,-3
A2,2,-3
B3,1,-3
A3,2,Infinity
A2,2,-Infinity
B2,3,-Infinity
B2,3,Infinity
A2,4,Infinity
A2,4,Infinity
A3,4,-4
A2,4,-4
A2,4,-4
A3,4,-3
A2,4,-4
B2,3,-4
A3,4,-1
B2,3,-4
B2,3,-4
B3,3,-Infinity
B2,3,Infinity
A3,4,12
B2,3,12
B3,3,12
B3,3,Infinity
A2,4,2
B3,3,2
A3,4,2
B3,3,2
B3,3,12
B2,3,12
A2,2,12
B3,3,Infinity
A2,4,-3
B3,3,-3
A3,4,Infinity
A2,4,Infinity
A2,4,Infinity
A3,4,Infinity
A2,4,Infinity
A2,4,14
A3,4,14
A2,4,14
A2,4,14
A3,4,Infinity
A2,4,16
A3,4,16
A2,4,14
A3,4,14
A3,4,-4
A3,4,-4
B3,3,-4
A2,2,12
A3,2,12
A3,2,Infinity
A2,2,Infinity
A2,2,-Infinity
B2,3,Infinity
A2,4,-4
B2,3,-4
A3,4,Infinity
A2,4,-12
A3,4,-12
A3,4,-5
A3,4,-12
B2,3,-12
A2,2,-12
B3,3,Infinity
A2,4,-6
B3,3,-6
A3,4,-9
B3,3,-9
A2,2,-9
A2,2,-9
A3,2,-Infinity
B2,3,Infinity
A2,4,-5
B2,3,-5
A3,4,-4
B2,3,-5
A3,2,-5
B3,3,Infinity
A2,4,-27
B3,3,-27
A3,4,Infinity
A2,4,Infinity
A2,4,Infinity
A3,4,-28
A2,4,-28
A2,4,-28
A3,4,-8
A2,4,-28
A3,4,-28
B3,3,-28
A3,2,-5
A2,2,-9
A3,2,-9
A3,2,-9
B3,1,-9
root,0,-5
