input:
3
2
2
1 2 1 0
0 7 0 8
0
0

next state:
1 0 0 0 
0 0 0 8 
10
0

traverse log:
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
A2,1,-Infinity,-Infinity,Infinity
A3,1,-Infinity,-Infinity,Infinity
A2,1,-Infinity,-Infinity,Infinity
A4,1,Infinity,-Infinity,Infinity
A4,1,3,-Infinity,Infinity
A2,1,3,3,Infinity
A3,1,3,3,Infinity
A4,1,Infinity,3,Infinity
B5,2,7,3,Infinity
A4,1,7,3,7
A3,1,7,7,Infinity
A2,1,7,7,Infinity
A4,1,Infinity,7,Infinity
B3,2,0,7,Infinity
A4,1,0,7,Infinity
A2,1,7,7,Infinity
root,0,7,7,Infinity
A3,1,-Infinity,7,Infinity
A2,1,Infinity,7,Infinity
B2,2,2,7,Infinity
A2,1,2,7,Infinity
A3,1,2,7,Infinity
A4,1,Infinity,7,Infinity
B5,2,6,7,Infinity
A4,1,6,7,Infinity
A3,1,6,7,Infinity
root,0,7,7,Infinity
A4,1,Infinity,7,Infinity
B3,2,-1,7,Infinity
A4,1,-1,7,Infinity
root,0,7,7,Infinity
