Node,Depth,Value
root,0,-Infinity
B2,1,Infinity
A2,2,-Infinity
B2,3,Infinity
A2,4,7
B2,3,7
A3,4,12
B2,3,7
A4,4,Infinity
A2,4,11
A4,4,11
A3,4,16
A4,4,11
A4,4,11
A4,4,11
A5,4,16
A4,4,11
A6,4,16
A4,4,11
A7,4,16
A4,4,11
A8,4,16
A4,4,11
A9,4,16
A4,4,11
A10,4,Infinity
A2,4,15
A10,4,15
A3,4,20
A10,4,15
A4,4,15
A10,4,15
A5,4,20
A10,4,15
A6,4,20
A10,4,15
A7,4,20
A10,4,15
A8,4,20
A10,4,15
A9,4,20
A10,4,15
A10,4,16
A10,4,15
A11,4,20
A10,4,15
A4,4,11
A11,4,17
A4,4,11
B2,3,7
A5,4,13
B2,3,7
A6,4,13
B2,3,7
A7,4,13
B2,3,7
A8,4,13
B2,3,7
A9,4,13
B2,3,7
A10,4,13
B2,3,7
A11,4,13
B2,3,7
A2,2,7
B3,3,Infinity
A2,4,12
B3,3,12
A3,4,17
B3,3,12
A4,4,17
B3,3,12
A5,4,17
B3,3,12
A6,4,17
B3,3,12
A7,4,17
B3,3,12
A8,4,17
B3,3,12
A9,4,17
B3,3,12
A10,4,Infinity
A2,4,16
A10,4,16
A3,4,21
A10,4,16
A4,4,21
A10,4,16
A5,4,21
A10,4,16
A6,4,21
A10,4,16
A7,4,21
A10,4,16
A8,4,21
A10,4,16
A9,4,21
A10,4,16
A10,4,17
A10,4,16
A11,4,21
A10,4,16
B3,3,12
A11,4,18
B3,3,12
A2,2,12
B4,3,Infinity
A2,4,12
B4,3,12
A3,4,17
B4,3,12
A4,4,17
B4,3,12
A5,4,17
B4,3,12
A6,4,17
B4,3,12
A7,4,17
B4,3,12
A8,4,17
B4,3,12
A9,4,17
B4,3,12
A10,4,Infinity
A2,4,16
A10,4,16
A3,4,21
A10,4,16
A4,4,21
A10,4,16
A5,4,21
A10,4,16
A6,4,21
A10,4,16
A7,4,21
A10,4,16
A8,4,21
A10,4,16
A9,4,21
A10,4,16
A10,4,17
A10,4,16
A11,4,21
A10,4,16
B4,3,12
A11,4,18
B4,3,12
A2,2,12
B5,3,Infinity
A2,4,12
B5,3,12
A3,4,17
B5,3,12
A4,4,17
B5,3,12
A5,4,17
B5,3,12
A6,4,17
B5,3,12
A7,4,17
B5,3,12
A8,4,17
B5,3,12
A9,4,17
B5,3,12
A10,4,Infinity
